sample_rate_hz,frequency_hz,analog_magnitude_db,measured_magnitude_db,legacy_analog_magnitude_db,analog_phase_deg,measured_phase_deg,magnitude_error_db,phase_error_deg
48000,56,-0.000180400622365,-0.000172533400246,-2.51133427985e-05,0.157568233955,0.157566316568,7.86722211941e-06,-1.91738704284e-06
48000,61,-0.000162577504002,-0.000153603866438,-2.97980553302e-05,0.114021549296,0.114020844098,8.97363756572e-06,-7.05198050383e-07
48000,67,-0.000148494059051,-0.000137456764035,-3.59482348752e-05,0.0671983475815,0.067198520956,1.10372950161e-05,1.73374513826e-07
48000,73,-0.000140215988692,-0.000127160299787,-4.26749844446e-05,0.0249217164077,0.0249217635342,1.30556889047e-05,4.71264966885e-08
48000,80,-0.000135939053263,-0.000120361012181,-5.12515760396e-05,-0.020019373201,-0.020019053164,1.55780410808e-05,3.20036966159e-07
48000,87,-0.000136034180451,-0.000117646184044,-6.06129357504e-05,-0.0613264869143,-0.0613271678026,1.83879964079e-05,-6.80888251119e-07
48000,95,-0.000140257965786,-0.000118364082746,-7.22725670125e-05,-0.105115285591,-0.105116155079,2.18938830402e-05,-8.69487629575e-07
48000,103,-0.000147973309879,-0.000122269279336,-8.49571876205e-05,-0.146071207177,-0.146072216438,2.57040305432e-05,-1.00926114925e-06
48000,112,-0.000160060611323,-0.000129788376432,-0.000100452557919,-0.189516251377,-0.189515898956,3.02722348892e-05,3.52420544825e-07
48000,123,-0.000178933376205,-0.00014241941573,-0.000121153010845,-0.239694465002,-0.239695690245,3.6513960475e-05,-1.2252433723e-06
48000,134,-0.000201681213075,-0.000158260197733,-0.000143791273081,-0.287402608259,-0.287403115855,4.34210153413e-05,-5.07596846683e-07
48000,146,-0.000230403559436,-0.000179097701849,-0.000170697589366,-0.337286718607,-0.337287150413,5.13058575872e-05,-4.31806394766e-07
48000,159,-0.000265706858284,-0.000205342674344,-0.000202448444008,-0.389359121385,-0.389360508541,6.03641839413e-05,-1.38715608992e-06
48000,173,-0.000308256617656,-0.000237214249159,-0.000239668337722,-0.443663410237,-0.443662872839,7.10423684986e-05,5.37397129549e-07
48000,189,-0.000362329041697,-0.000278151435858,-0.000286048649188,-0.503985440393,-0.50398510509,8.41776058397e-05,3.35303067087e-07
48000,206,-0.000425886775854,-0.000326533414093,-0.000339819443319,-0.566507757834,-0.566508085705,9.93533617604e-05,-3.27871217419e-07
48000,224,-0.000499835790023,-0.000383705696491,-0.000401797219924,-0.631346092693,-0.631347470753,0.000116130093532,-1.37805957329e-06
48000,245,-0.000594569187621,-0.000457268550244,-0.000480661545902,-0.705624841937,-0.70562547608,0.000137300637377,-6.34143287446e-07
48000,267,-0.000703430555123,-0.00054239523769,-0.000570854624342,-0.782222951622,-0.782224776805,0.000161035317435,-1.82518334034e-06
48000,291,-0.000833282555152,-0.000645109962522,-0.000678084745214,-0.864690104161,-0.864692170312,0.00018817259263,-2.06615053465e-06
48000,317,-0.000986913203064,-0.000768087397247,-0.000804656665962,-0.953032856293,-0.953035239101,0.000218825805818,-2.38280818075e-06
